nom,site_web,ville,dirigeant,email,telephone,url_source,secteur,siren
VPT-DEV,,Paris (75008),,,,https://www.pappers.fr/entreprise/841589757,Conseil en systèmes et logiciels informatiques,841589757
JINSHUI,,Saint-Cloud (92210),,,,https://www.pappers.fr/entreprise/841935117,Restauration traditionnelle,841935117
DPS INTERIM,,Paris (75014),,,,https://www.pappers.fr/entreprise/309844330,Activités des agences de travail temporaire,309844330
GRUPPETTO CULTURE,,Saint-Maur-des-Fossés (94210),,,,https://www.pappers.fr/entreprise/900301219,Enseignement culturel,900301219
FMI OPERA WEALTH MANAGEMENT,,Paris (75017),,,,https://www.pappers.fr/entreprise/499143618,Conseil pour les affaires et autres conseils de gestion,499143618
NOBLURWAY,,Auvers-sur-Oise (95430),,,,https://www.pappers.fr/entreprise/513169409,Édition de logiciels applicatifs,513169409
STH CONSEIL,,Paris (75018),,,,https://www.pappers.fr/entreprise/529546970,Agences immobilières,529546970
SATT LUTECH,,Paris (75012),,,,https://www.pappers.fr/entreprise/539984500,Recherche-développement en autres sciences physiques et naturelles,539984500
STUDIO TF1 FICTION,,Montigny-le-Bretonneux (78180),,,,https://www.pappers.fr/entreprise/532848090,Production de films et de programmes pour la télévision,532848090
SO APP,,Villennes-sur-Seine (78670),,,,https://www.pappers.fr/entreprise/794592873,Programmation informatique,794592873
NAJIB'SON,,Paris (75017),,,,https://www.pappers.fr/entreprise/521183236,Entretien et réparation de véhicules automobiles légers,521183236
ESCAPE-COM,,Pontoise (95300),,,,https://www.pappers.fr/entreprise/482816915,Conseil en relations publiques et communication,482816915
BASTILLE,,Paris (75011),,,,https://www.pappers.fr/entreprise/824161517,Conseil en relations publiques et communication,824161517
PARIS EST SERVICES,,Courtry (77181),,,,https://www.pappers.fr/entreprise/399443308,Travaux de menuiserie métallique et serrurerie,399443308
INTER VAL,,Issy-les-Moulineaux (92130),,,,https://www.pappers.fr/entreprise/906250253,Transports routiers réguliers de voyageurs,906250253
SLAM,,Ivry-sur-Seine (94200),,,,https://www.pappers.fr/entreprise/820443224,Ingénierie et études techniques,820443224
VISUEL VOX,,Paris (75004),,,,https://www.pappers.fr/entreprise/492245576,Autres activités de soutien aux entreprises,492245576
ORSENNA,,Les Ulis (91940),,,,https://www.pappers.fr/entreprise/338866775,Conseil en systèmes et logiciels informatiques,338866775
SARL PAREAU,,Poigny (77160),,,,https://www.pappers.fr/entreprise/349291419,Services d'aménagement paysager,349291419
P.CE TECH,,Saint-Maurice (94410),,,,https://www.pappers.fr/entreprise/398986505,Ingénierie et études techniques,398986505
